link,img,title
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58636,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504172042778279_6801013680c98.jpeg,"삼성 4연패 탈출 이끈 신인 심재훈, ""거침없이 과감하게 했다"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58635,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504172228776351_6801038eae0ab.jpg,"""재영아 고맙다"" 승리 지킨 후배, 박세웅은 포옹으로 맞이했다"
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58634,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504172201773308_680102187da0b.png,"병살 두 글자 지운 끝내기타...나성범 ""제일 좋은게 나왔다"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58633,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504172235771449_680103f1bee7f.jpg,"정우주, 데뷔 첫 홀드 “황금 같은 기회, 정말 재밌고 많이 배우고 있다”"
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58624,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f%e1%84%89%e1%85%b3%e1%84%8f%e1%85%b3%e1%84%85%e1%85%b5%e1%86%ab%e1%84%89%e1%85%a3%e1%86%ba%202025-04-16%20%e1%84%8b%e1%85%a9%e1%84%92%e1%85%ae%2010.15.41.png,"‘155km 쾅!→KKKKKKKKKK’ 와이스, 6이닝 2실점 승리 “한화팬 가장 열성적이라고 자부한다”"
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58623,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f%e1%84%89%e1%85%b3%e1%84%8f%e1%85%b3%e1%84%85%e1%85%b5%e1%86%ab%e1%84%89%e1%85%a3%e1%86%ba%202025-04-16%20%e1%84%8b%e1%85%a9%e1%84%92%e1%85%ae%2010.15.04.png,5할 승률 달성의 선봉장은 황성빈…김태형 칭찬 “리드오프로 역할 잘해줬다”
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58622,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f%e1%84%89%e1%85%b3%e1%84%8f%e1%85%b3%e1%84%85%e1%85%b5%e1%86%ab%e1%84%89%e1%85%a3%e1%86%ba%202025-04-16%20%e1%84%8b%e1%85%a9%e1%84%92%e1%85%ae%2010.14.08.png,"챔프 1안타로 제압, 다음 표적은 친정 SSG, 그것도 우상과 맞대결 ""이겨보겠습니다"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58613,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504152230771565_67fe605a54ab7.jpg,"전준우 한 방에 김태형 감독 미소 ""선수들 집중력 잃지 않았다"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58612,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504152140773369_67fe599e920a1.jpg,"1-0 승리 이끈 한 방, KIA 최원준 ""나 때문에 진 경기 많았다"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58611,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504152140775487_67fe5666bb260.jpg,"LG 팀 노히트, 염경엽 감독 “완벽한 지키는 야구 칭찬하고 싶다”"
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58607,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f20250415213729_67fe530909f3f.jpg,"폰세 7이닝 12K 무실점 승리→2연승 질주, 김경문 감독 “폰세가 완벽한 모습 보여줬다”"
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58600,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504131853774390_67fb8a4d921d5.jpg,"“다행히, 살았습니다” 국대 포수 스윙 한 방이 모두를 구했다"
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58599,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504131810776099_67fb811077731.jpg,"패패패패승! 14승2패 무적 라이벌, 어떻게 9-2 완파했나"
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58598,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504131826772745_67fb87529b04b.jpg,"“난 지금껏 생존을 했다, 못해서” ML 45홈런 강타자 솔직 고백"
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58597,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504131732778424_67fb795173fe8.png,"하룻만에 탈꼴찌...이범호 감독 ""이제 힘 낼 것이다"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58596,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504131716774434_67fb758b42175.jpg,"""외야도 OK"", 지혜로운 외인은 특별하다"
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58595,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f%e1%84%86%e1%85%a6%e1%86%ab%e1%84%90%e1%85%b3.jpg,"222일 만에 승리한 문동주, ""너무 오래 걸려, 선발진에 누가 안 되겠다"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58586,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f%e1%84%89%e1%85%b3%e1%84%8f%e1%85%b3%e1%84%85%e1%85%b5%e1%86%ab%e1%84%89%e1%85%a3%e1%86%ba%202025-04-13%20%e1%84%8b%e1%85%a9%e1%84%8c%e1%85%a5%e1%86%ab%205.28.37.png,"'14승2패' LG, 잠실 라이벌 꺾고 3연승...염갈량 ""비 오는 궂은 날씨에 끝까지 응원해준 팬들께 감사드린다"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58581,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504121929779832_67fa4181de96e.jpg,"키움 2연패 탈출 이끈 신인 정현우 ""앞으로 더 발전된 모습으로"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58571,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f%e1%84%89%e1%85%a1%e1%86%bc%e1%84%87%e1%85%a9.jpg,"시즌 첫 승 신고한 류현진, ""오랜만에 푸이그 봐서 좋았다"""
https://www.koreabaseball.com/MediaNews/News/Interview/View.aspx?bdSe=58570,https://6ptotvmi5753.edge.naverncp.com/KBO_FILE/news%2fimages%2f2025%2f4%2f202504112216771163_67f916f9c54fc.jpg,"나도 '초대형 트레이드' 메인카드, ""'나는 할 수 있다'고 되뇌었다"""
