areaCode,areaName1,areaName2,areaName3,announceTime,time,weather,temp,rainProb
27230510,대구광역시,북구,고성동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름많음', '구름많음', '구름많음', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비']","[16, 15, 14, 14, 14, 14, 14, 15, 16, 17, 17, 17, 17, 18, 18, 18, 19, 18, 18, 18, 18, 18, 17, 17]","[30, 30, 30, 40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 70, 70, 60, 60, 50, 50, 50, 50, 50, 50, 50]"
48160720,경상남도,마산시,양덕2동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름많음', '구름많음', '구름많음', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '흐림', '흐림', '흐림']","[14, 14, 14, 15, 15, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 17, 17, 17, 18, 17, 17, 17, 17]","[30, 30, 30, 40, 40, 40, 40, 50, 50, 50, 50, 50, 60, 70, 70, 50, 50, 50, 50, 50, 50, 40, 40, 40]"
26260590,부산광역시,동래구,사직2동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['구름많음', '구름많음', '구름많음', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '흐림', '흐림', '흐림']","[14, 14, 14, 14, 14, 14, 14, 14, 14, 16, 16, 17, 17, 16, 16, 15, 16, 16, 16, 16, 16, 16, 16, 16]","[30, 30, 30, 40, 40, 40, 40, 50, 50, 50, 50, 50, 60, 70, 70, 50, 50, 50, 50, 50, 50, 40, 40, 40]"
11470510,서울특별시,양천구,목1동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['흐림', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비']","[18, 18, 18, 18, 18, 17, 17, 17, 17, 17, 16, 17, 17, 17, 18, 18, 18, 18, 18, 18, 18, 17, 16, 17]","[40, 40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 60, 70, 70, 60, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
11710720,서울특별시,송파구,잠실7동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['흐림', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비']","[19, 19, 19, 19, 19, 18, 18, 17, 17, 17, 17, 17, 17, 18, 19, 19, 19, 18, 18, 18, 17, 17, 17, 17]","[40, 40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 60, 70, 70, 60, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
28170740,인천광역시,남구,문학동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['흐림', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비']","[15, 15, 15, 15, 15, 15, 15, 16, 16, 16, 16, 17, 17, 17, 17, 17, 17, 17, 17, 16, 16, 15, 15, 15]","[40, 40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 60, 70, 70, 60, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
45130680,전라북도,군산시,개정동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['흐림', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비']","[17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 18, 19, 19, 19, 18, 18, 17, 16, 16, 15, 15, 15, 15]","[40, 40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 60, 70, 70, 60, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
29170570,광주광역시,북구,임동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['흐림', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '흐림', '흐림', '흐림', '흐림', '흐림']","[17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 19, 19, 20, 19, 19, 19, 19, 18, 18, 17, 17, 16, 16]","[40, 40, 40, 40, 40, 50, 50, 50, 50, 60, 70, 70, 60, 50, 50, 50, 50, 50, 50, 40, 40, 40, 40, 40]"
43113630,충청북도,청주시흥덕구,사직1동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['흐림', '흐림', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비']","[19, 19, 19, 18, 18, 17, 17, 17, 17, 17, 17, 17, 18, 19, 19, 19, 20, 19, 19, 18, 18, 18, 18, 18]","[40, 40, 40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 60, 70, 70, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
30140640,대전광역시,중구,부사동,20250422050000,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","['흐림', '흐림', '흐림', '흐림', '흐림', '흐림', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비', '비']","[17, 17, 17, 16, 16, 16, 16, 16, 17, 17, 18, 17, 18, 18, 18, 18, 19, 18, 18, 18, 18, 18, 17, 16]","[40, 40, 40, 40, 40, 40, 50, 50, 50, 50, 50, 50, 60, 70, 70, 50, 50, 50, 50, 50, 50, 50, 50, 50]"
